Name,Construction,Type, Speed (mph),Length (feet),Number of Inversions
10 Inversion Roller Coaster,Steel,Sit Down,45,2788.8,10
Abismo,Steel,Sit Down,65.2,1476.4,2
Adrenaline Peak,Steel,Sit Down,45,1050,3
Afterburn,Steel,Inverted,62,2956,6
Alpengeist,Steel,Inverted,67,3828,6
Alpina Blitz,Steel,Sit Down,51.6,2358.9,0
Altair,Steel,Sit Down,52.8,2879.8,10
American Eagle,Wood,Sit Down,66,4650,0
Anaconda,Wood,Sit Down,55.9,3937,0
Apocalypse,Steel,Stand Up,55,2900,2
Apocalypse the Ride,Wood,Sit Down,50.1,2877,0
Apollo's Chariot,Steel,Sit Down,73,4882,0
Atlantica SuperSplash,Steel,Sit Down,49.7,1279.5,0
Backlot Stunt Coaster,Steel,Sit Down,40,1960,0
Balder,Wood,Sit Down,55.9,3510.5,0
Bandit,Wood,Sit Down,49.7,3605.7,0
Banshee,Steel,Inverted,68,4124,7
Bat,Steel,Suspended,51,2352,0
Batman - The Dark Knight,Steel,Sit Down,55,2600,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman The Ride,Steel,Inverted,50,2693,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman The Ride,Steel,Inverted,50,2693,5
Batman The Ride,Steel,Inverted,50,2700,5
Batman the Ride,Steel,Inverted,49.7,2260.5,5
Batman: Arkham Asylum,Steel,Inverted,49.7,2700.2,5
Batwing,Steel,Flying,50,3340,5
Beast,Wood,Sit Down,64.8,7359,0
Behemoth,Steel,Sit Down,77,5318,0
Big Apple Coaster,Steel,Sit Down,67,4777,2
Big Loop,Steel,Sit Down,39.2,2316.3,4
Big One,Steel,Sit Down,74,5497,0
Big Thunder Mountain,Steel,Sit Down,40.4,4921.3,0
Big Thunder Mountain Railroad,Steel,Sit Down,28,2671,0
Bizarro,Steel,Sit Down,61,3985,7
Black Mamba,Steel,Inverted,49.7,2519.7,4
blue fire Megacoaster,Steel,Sit Down,62.1,3464.5,4
Blue Hawk,Steel,Sit Down,52,2742,5
Blue Streak,Wood,Sit Down,40,2558,0
Boardwalk Bullet,Wood,Sit Down,51,3236,0
Bocaraca,Steel,Sit Down,37.3,1148.3,2
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang,Steel,Sit Down,47,935,3
Boomerang Coast to Coaster,Steel,Sit Down,47,935,3
Boss,Wood,Sit Down,66.3,4631,0
Boulder Dash,Wood,Sit Down,60,4725,0
Bullet Coaster,Steel,Sit Down,83,,0
Cannibal,Steel,Sit Down,70,2735,4
Cedar Creek Mine Ride,Steel,Steel,42,2540,0
Coaster Express,Wood,Sit Down,49.7,4574,0
Coaster Thrill Ride,Wood,Sit Down,50,2650,0
Coaster Through the Clouds,Steel,Sit Down,84.5,5105,0
Colorado Adventure,Steel,Sit Down,31.1,4199.5,0
Colossus,Steel,Sit Down,45,2788.8,10
Comet,Steel,Sit Down,40.4,1935.7,3
Corkscrew,Steel,Steel,48,2050,3
Corkscrew,Steel,Sit Down,50,1950,3
Crazy Bird,Steel,Sit Down,,1279.5,2
Crazy Coaster,Steel,Sit Down,52.8,2870.8,10
Cyclone,Wood,Sit Down,55,2800,0
Demon,Steel,Sit Down,50,2130,4
Demon,Steel,Sit Down,50,2130,4
Desafio,Steel,Inverted,49.7,2260.5,5
Desert Race,Steel,Sit Down,62.1,2132.6,0
Desperado,Steel,Sit Down,80,5843,0
Diamondback,Steel,Sit Down,80,5282,0
Dinoconda,Steel,Wing,78.3,3444.9,3
Do-Dodonpa,Steel,Sit Down,111.8,4081.3,1
Doble Loop,Steel,Sit Down,56,2822,2
Dragon Khan,Steel,Sit Down,65,4165,8
Dragon Mountain,Steel,Sit Down,50,5500,4
Dragon's Run,Steel,Sit Down,65,3738,6
Eejanaika,Steel,Wing,78.3,3782.8,3
El Toro,Wood,Sit Down,70,4400,0
El Toro,Wood,Sit Down,45.6,2379,0
Eurosat Can Can Coaster,Steel,Sit Down,37.3,3024.8,0
Expedition GeForce,Steel,Sit Down,74.6,4002.6,0
Extreme Rusher,Steel,Sit Down,83,2788.8,0
Fahrenheit,Steel,Sit Down,58,2700,6
Firehawk,Steel,Flying,50,3340,5
Firewhip,Steel,Inverted,49.7,2260.5,5
Flash,Steel,Sit Down,71.5,4176.5,2
Flashback,Steel,Sit Down,47,935,3
Flight Deck,Steel,Inverted,50,2260,3
Flight Deck,Steel,Inverted,49.7,2260.5,5
Flight of Fear,Steel,Sit Down,54,2705,4
Flight of Fear,Steel,Sit Down,54,2705,4
Flight of the Phoenix,Steel,Sit Down,49.7,2723.1,8
Fluch von Novgorod,Steel,Sit Down,62.1,2296.6,1
Fly the Great Nor'Easter,Steel,Inverted,55,2170,5
Flying Aces,Steel,Sit Down,74.6,4921.3,1
Force One,Steel,Sit Down,40.4,1738.8,0
Formula Rossa,Steel,Sit Down,149.1,6561.7,0
Fujiyama,Steel,Sit Down,80.8,6708.7,0
Full Throttle,Steel,Sit Down,70,2200,2
Furius Baco,Steel,Wing,83.9,2788.8,1
Fury 325,Steel,Sit Down,95,6602,0
Gao,Steel,Sit Down,60.9,5457.7,0
GateKeeper,Steel,Wing,67,4164,6
Gemini,Steel,Sit Down,60,3935,0
GhostRider,Wood,Sit Down,56,4533,0
Giant Dipper,Wood,Sit Down,55,2640,0
Giant Dipper,Wood,Sit Down,55,2600,0
Goliath,Steel,Sit Down,85,4500,0
Goliath,Steel,Sit Down,70,4480,0
Goliath,Steel,Inverted,50,2693,5
Goliath,Steel,Inverted,65.6,1204,3
Goliath,Wood,Sit Down,72,3100,2
Goudurix,Steel,Sit Down,56,3116.8,7
Great White,Steel,Inverted,50,2562,5
Green Lantern Coaster,Steel,Sit Down,41,1601.1,2
Griffon,Steel,Sit Down,71,3108,2
Grizzly,Wood,Sit Down,55,3250,0
Hades 360,Wood,Sit Down,60,4746,1
Half Pipe,Steel,Sit Down,43.5,229.7,0
Happy Angel,Steel,Inverted,54.1,,6
HeiBe Fahrt,Steel,Sit Down,34.2,1745.4,0
Helix,Steel,Sit Down,62.1,4530.8,7
Hydra the Revenge,Steel,Sit Down,53,3198,7
Hyper Coaster,Steel,Sit Down,71.5,4176.5,2
Hyperion,Steel,Sit Down,88.2,4757.2,1
Incredible Hulk,Steel,Sit Down,67,3700,7
Incredicoaster,Steel,Sit Down,55,6072,1
Intimidator,Steel,Sit Down,75,5316,0
Intimidator 305,Steel,Sit Down,90,5100,0
Invertigo,Steel,Sit Down,50,1013.8,3
Iron Dragon,Steel,Suspended,40,2800,0
Iron Rattler,Steel,Sit Down,70,3266,1
iSpeed,Steel,Sit Down,68.4,3215.2,2
Joker,Steel,Wing,38,1019,5
Joker,Steel,Sit Down,53,3200,3
Journey to Atlantis,Steel,Sit Down,42,,0
Journey to Atlantis,Steel,Sit Down,,780,0
Judge Roy Scream,Wood,Sit Down,45,2670,0
Jungle Trailblazer,Wood,Sit Down,54.1,3989.5,0
Jupiter,Wood,Sit Down,57,5249.3,0
Katapul,Steel,Sit Down,53,722,1
Katun,Steel,Inverted,64.6,3937,6
Kawazemi,Steel,Sit Down,52.8,2477,0
Kingda Ka,Steel,Sit Down,128,3118,0
Kong,Steel,Sit Down,49.7,2260.5,5
Kraken,Steel,Sit Down,65,4177,7
Kumba,Steel,Sit Down,60,3978,7
Legend,Wood,Sit Down,59,4042,0
Leviathan,Steel,Sit Down,92,5486,0
Lightning Rod,Wood,Sit Down,73,3800,0
Limit,Steel,Inverted,49.7,2260.5,5
Magnum XL-200,Steel,Sit Down,72,5106,0
Mako,Steel ,Sit Down,73,4760,0
Mamba,Steel,Sit Down,75,5600,0
Mammut,Wood,Sit Down,55.9,2821.5,0
Manta,Steel ,Flying,56,3359,4
Manta,Steel,Sit Down,43,2800,0
Maverick,Steel,Sit Down,70,4450,2
Medusa,Steel,Sit Down,65,3937,7
Medusa Steel Coaster,Steel,Sit Down,58,3000,3
Millennium Force,Steel,Sit Down,93,6595,0
Mind Eraser,Steel,Inverted,49.7,2260.5,5
Mind Eraser,Steel,Inverted,49.7,2260.5,5
Mine Blower,Wood,Sit Down,45.8,2290,1
Monster,Steel,Inverted,55.9,3937,6
Montana  Rusa,Wood,Sit Down,52.8,4000,0
Montana Rusa,Steel,Sit Down,,1250,2
Montana Rusa,Steel,Sit Down,,1197.5,1
Montezooma's Revenge,Steel,Sit Down,55,800,1
Montezum,Wood,Sit Down,64,3380,0
Montu,Steel,Inverted,60,3983,7
MP-Xpress,Steel,Inverted,49.7,2260.5,5
Mr. Freeze Reverse Blast,Steel,Sit Down,70,1300,1
Mr. Freeze Reverse Blast,Steel,Sit Down,70,1300,1
Mystic Timbers,Wood,Sit Down,53,3265,0
Nemesis,Steel,Inverted,50,2349,4
Nemisis Inferno,Steel,Inverted,47.8,2460.7,4
Nessie Superrollercoaster,Steel,Sit Down,49.1,2431.1,1
New Revolution,Steel,Sit Down,55,3457,1
New Texas Giant,Steel,Sit Down,68.6,4200,0
Ninja,Steel,Suspended,55,2800,0
Nitro,Steel,Sit Down,80,5394,0
Oblivion,Steel,Sit Down,68,1222,0
OCT Thrust SSC1000,Steel,Sit Down,83,,0
Outlaw Run,Wood,Sit Down,68,2937,3
Pandemonium,Steel,Sit Down,31,1351,0
Pandemonium,Steel,Sit Down,31,1351,0
Patriot,Steel,Inverted,60,3081,4
Phaethon,Steel,Inverted,55.9,3280.8,6
Phantom's Revenge,Steel,Sit Down,85,3200,0
Phoenix,Wood,Sit Down,45,3200,0
Piraten,Steel,Sit Down,52.8,2477,0
Poltergeist,Steel,Sit Down,60,2705,4
Prowler,Wood,Sit Down,51.2,3074,0
Pyrenees,Steel,Inverted,62.1,4048.6,6
Python in Bamboo Forest,Wood,Sit Down,62.1,5111,0
Quimera,Steel,Sit Down,53,3444,3
Racer,Wood,Sit Down,53,3415,0
Raging Bull,Steel,Sit Down,73,5057,0
RailBlazer,Steel,Sit Down,52,1800,3
Ranier Rush,Steel,Sit Down,45,1775,1
Raptor,Steel,Inverted,57,3790,6
Raptor,Steel,Inverted,49.7,2260.5,5
Raven,Wood,Sit Down,48,2800,0
Ravine Flyer II,Wood,Sit Down,57,2900,0
Red Force,Steel,Sit Down,111.8,2887.2,0
Renegade,Wood,Sit Down,51.3,3113,0
Revenge of the Mummy the Ride,Steel,Sit Down,40,1906,0
Riddler Revenge,Steel,Inverted,49.7,2260.5,5
Riddler's Revenge,Steel,Stand Up,65,4370,6
Ride of Steel,Steel,Sit Down,73,5400,0
Road Runner Express,Steel,Sit Down,35,2400,0
Rock 'n' Roller Coaster,Steel,Sit Down,57,3403,3
Rougarou,Steel,Sit Down,60,3900,4
Saw - The Ride,Steel,Sit Down,55,2362,3
Schwur des Kärnan,Steel,Sit Down,78.9,4051.8,1
Scream!,Steel,Sit Down,63,3985,7
Screamer,Steel,Sit Down,50,2600,0
Shambhala,Steel,Sit Down,83.3,5131.3,0
Shock Wave,Steel,Sit Down,60,3600,2
Sidewinder,Steel,Sit Down,45,635,1
Silver Bullet,Steel,Inverted,55,3125,6
Silver Star,Steel,Sit Down,78.9,5315,0
Sky Scream,Steel,Sit Down,62,863,1
Sky Wheel,Steel,Sit Down,65.3,492.2,2
Skyrush,Steel,Sit Down,75,3600,0
Smiler,Steel,Sit Down,52.8,3838.6,14
Snow Mountain Flying Dragon,Steel,Inverted,54.9,2202.8,4
Soaring Dragon & Dancing Phoenix,Steel,Inverted,84,4192,6
Soaring with Dragon,Steel,Sit Down,77.7,3438.3,1
Spatiale Experience,Steel,Sit Down,37.3,2624.7,0
SpeedSnake FREE,Steel,Sit Down,37.3,1148.3,2
Stampida,Wood,Sit Down,46,3127,0
Star Mountain,Steel,Sit Down,40,2400,2
Star Wars Hyperspace Mountain: Rebel Mission,Steel,Sit Down,44,3281,3
Stealth,Steel,Sit Down,80,1312.3,0
Steel Dragon 2000,Steel,Sit Down,95,8133.2,0
Steel Eel,Steel,Sit Down,65,3700,0
Steel Force,Steel,Sit Down,75,5600,0
Steel Vengeance,Steel,Sit Down,74,5740,4
Steel Venom,Steel,Inverted,68,630,0
Storm Chaser,Steel,Sit Down,52,2744,3
Storm Runner,Steel,Sit Down,75,2600,3
Stunt Fall,Steel,Inverted,65.6,1204,3
Super Tornado,Steel,Sit Down,37.3,1148.3,2
Superman - Ride Of Steel,Steel,Sit Down,73,5350,0
Superman - Ultimate Flight,Steel,Flying,51,2798,2
Superman / la Atracción de Acero,Steel,Sit Down,62.1,3608.9,7
Superman el ltimo Escape,Steel,Sit Down,74.6,5577.4,0
Superman Krypton Coaster,Steel,Sit Down,70,4015,6
Superman the Ride,Steel,Sit Down,77,5400,0
Superman: Escape from Krypton,Steel,Sit Down,100,1235,0
Swarm,Steel,Wing,57,2543,5
T Express,Wood,Sit Down,64.6,5383.8,0
Takabisha,Steel,Sit Down,62.1,3280.8,7
Talon,Steel,Inverted,58,3110,4
Taron,Steel,Sit Down,72.7,4330.8,0
Tatsu,Steel,Flying,62,3602,4
Taunusblitz,Steel,Sit Down,28,1213.9,0
Temple of the Night Hawk,Steel,Sit Down,28.9,3851.7,0
Terminator Salvation: The Coaster,Steel,Wood,81,876.9,0
Texas Tornado,Steel,Sit Down,65,2050,2
Thunder Dolphin,Steel,Sit Down,80.8,3500,0
Timber Drop,Steel,Sit Down,41,,2
Timber Wolf,Wood,Sit Down,53,4230,0
Timberhawk: Ride of Prey,Wood,Sit Down,50,2600,0
Time Traveler,Steel,Sit Down,50.3,3020,3
Titan,Steel,Sit Down,85,5312,0
Titan Cascabel,Steel,Sit Down,55,2500,0
Tonnerre de Zeus,Wood,Sit Down,52,4044,0
Top Thrill Dragster,Steel,Sit Down,120,2800,0
Tornado,Steel,Sit Down,37.3,1148.3,2
Tower of Terror II,Steel,Sit Down,100,1235,0
Twisted Colossus,Steel,Sit Down,57,4990,2
Twister II,Wood,Sit Down,55,4640,0
Ultimate,Steel,Sit Down,50,7442,0
V2: Vertical Velocity,Steel,Sit Down,65,630,0
Valravn,Steel,Sit Down,75,3415,3
Velikolukskiy Myasokombinat ,Steel,Sit Down,62.1,3464,4
Velikolukskiy Myasokombinat-2,Steel,Sit Down,52.8,2870,10
Vertical Velocity,Steel,Inverted,70,630,0
Viper,Steel,Sit Down,70,3830,7
Viper,Wood,Sit Down,50,3458,0
Vortex,Steel,Sit Down,55,3800,6
Voyage,Wood,Sit Down,67,6442,0
Whirl Wind Looping Coaster,Steel,Sit Down,37.3,1148,2
Whizzer,Steel,Sit Down,42,3100,0
Wicked Cyclone,Steel,Sit Down,55,3320,3
Wicked Twister,Steel,Inverted,72,215,0
Wild One,Wood,Sit Down,53,4000,0
Wild Thing,Steel,Sit Down,74,5460,0
Wild Thing,Steel,Sit Down,40,1565,3
Wildfire,Wood,Sit Down,71.5,4150.3,3
Winjas,Steel,Sit Down,41,1526.6,0
Wodan Timbur Coaster,Wood,Sit Down,62.1,3444.9,0
X2,Steel,Wing,76,3610,2
Xcelerator,Steel,Sit Down,63.2,3278.6,0